Time Point,SATIRE-M,TSInet
-5115.0,1361.07,1361.3434136047363
-5125.0,1361.203,1361.3434136047363
-5135.0,1361.2920000000001,1361.2378858690151
-5145.0,1361.26,1361.1258466796876
-515.0,1361.066,1361.1258466796876
-5155.0,1360.93,1361.1258466796876
-5165.0,1360.943,1361.1258466796876
-5175.0,1361.01,1361.1258440118409
-5185.0,1361.145,1361.1219805908204
-5195.0,1361.3239999999998,1361.1219805908204
-5205.0,1361.474,1361.1219805908204
-5215.0,1361.545,1361.1219805908204
-5225.0,1361.558,1361.1219805908204
-5235.0,1361.455,1361.3281575616872
-5245.0,1361.296,1361.5160072631836
-525.0,1361.1570000000002,1361.5160072631836
-5255.0,1361.101,1361.5160072631836
-5265.0,1361.181,1361.5160072631836
-5275.0,1361.2979999999998,1361.4979899294167
-5285.0,1361.3429999999998,1361.1240575332768
-5295.0,1361.283,1361.1240575332515
-5305.0,1361.264,1361.1240575332768
-5315.0,1361.336,1361.1240575332515
-5325.0,1361.279,1361.1240575332768
-5335.0,1361.115,1361.1251361805287
-5345.0,1361.059,1361.1259756317138
-535.0,1361.141,1361.125975631739
-5355.0,1361.264,1361.1259756316888
-5365.0,1361.32,1361.1259756317138
-5375.0,1361.239,1361.126723805776
-5385.0,1361.0610000000001,1361.1349770507813
-5395.0,1360.93,1361.1349770507813
-5405.0,1360.974,1361.1349770507813
-5415.0,1361.168,1361.1349770507813
-5425.0,1361.376,1361.1349770507813
-5435.0,1361.411,1361.3339170070283
-5445.0,1361.316,1361.4575150872552
-545.0,1361.2320000000002,1361.4575150872301
-5455.0,1361.213,1361.457515087205
-5465.0,1361.2379999999998,1361.4575150872552
-5475.0,1361.18,1361.4128540517227
-5485.0,1361.158,1361.126679901123
-5495.0,1361.152,1361.126679901123
-55.0,1361.135,1361.126679901123
-5505.0,1361.115,1361.126679901123
-5515.0,1361.164,1361.126679901123
-5525.0,1361.229,1361.1660669129924
-5535.0,1361.2910000000002,1361.1873798217773
-5545.0,1361.3139999999999,1361.1873798217773
-555.0,1361.246,1361.1873798217773
-5555.0,1361.1670000000001,1361.1873798217773
-5565.0,1361.1629999999998,1361.1568676321872
-5575.0,1361.135,1360.998735961914
-5585.0,1361.129,1360.998735961914
-5595.0,1361.144,1360.998735961914
-5605.0,1361.089,1360.998735961914
-5615.0,1361.039,1360.998735961914
-5625.0,1360.973,1361.1129501210921
-5635.0,1360.97,1361.165029144287
-5645.0,1361.082,1361.165029144287
-565.0,1361.207,1361.165029144287
-5655.0,1361.2939999999999,1361.165029144287
-5665.0,1361.3729999999998,1361.1553226867425
-5675.0,1361.356,1361.121223449707
-5685.0,1361.283,1361.121223449707
-5695.0,1361.161,1361.121223449707
-5705.0,1361.0839999999998,1361.121223449707
-5715.0,1361.0410000000002,1361.121223449707
-5725.0,1360.9589999999998,1361.1218715865043
-5735.0,1360.9089999999999,1361.1221153564452
-5745.0,1361.067,1361.1221153564452
-575.0,1361.191,1361.1221153564452
-5755.0,1361.086,1361.1221153564452
-5765.0,1360.979,1361.1255527474766
-5775.0,1360.914,1361.1360206604004
-5785.0,1360.852,1361.1360206604004
-5795.0,1360.818,1361.1360206604004
-5805.0,1360.786,1361.1360206604004
-5815.0,1360.747,1361.1360206604004
-5825.0,1360.726,1361.135397166815
-5835.0,1360.744,1361.1352092285156
-5845.0,1360.807,1361.1352092285156
-585.0,1360.871,1361.1352092285156
-5855.0,1360.899,1361.1352092285156
-5865.0,1360.9720000000002,1361.1304676629388
-5875.0,1361.141,1361.118739715576
-5885.0,1361.2279999999998,1361.118739715576
-5895.0,1361.1979999999999,1361.118739715576
-5905.0,1361.1370000000002,1361.118739715576
-5915.0,1361.0829999999999,1361.118739715576
-5925.0,1361.0610000000001,1361.1221025888271
-5935.0,1361.124,1361.1228983612311
-5945.0,1361.149,1361.1228983612061
-595.0,1361.135,1361.122898361181
-5955.0,1361.124,1361.1228983612311
-5965.0,1361.1470000000002,1361.13914097637
-5975.0,1361.146,1361.1720555419922
-5985.0,1361.07,1361.1720555419922
-5995.0,1361.021,1361.1720555419922
-6005.0,1360.971,1361.1720555419922
-6015.0,1360.9589999999998,1361.1720555419922
-6025.0,1361.033,1361.1352960521374
-6035.0,1361.101,1361.1292371520997
-6045.0,1361.1870000000001,1361.1292371520997
-605.0,1361.3,1361.1292371520997
-6055.0,1361.297,1361.1292371520997
-6065.0,1361.2120000000002,1361.1246347902731
-6075.0,1361.152,1361.1167952270507
-6085.0,1361.1229999999998,1361.1167952270507
-6095.0,1361.11,1361.1167952270507
-6105.0,1361.089,1361.1167952270507
-6115.0,1361.066,1361.1167952270507
-6125.0,1361.0220000000002,1361.647957117067
-6135.0,1360.991,1361.7086272583008
-6145.0,1360.99,1361.7086272583008
-615.0,1361.05,1361.7086272583008
-6155.0,1361.07,1361.7086272583008
-6165.0,1361.004,1361.7346194015042
-6175.0,1360.866,1361.7710034179688
-6185.0,1360.781,1361.7710034179688
-6195.0,1360.7379999999998,1361.7710034179688
-6205.0,1360.744,1361.7710034179688
-6215.0,1360.9029999999998,1361.7710034179688
-6225.0,1361.088,1361.213044879167
-6235.0,1361.106,1361.1753105163575
-6245.0,1361.09,1361.1753105163575
-625.0,1361.055,1361.1753105163575
-6255.0,1360.89,1361.1753105163575
-6265.0,1360.7979999999998,1361.3253558446681
-6275.0,1360.82,1361.5004886169434
-6285.0,1360.931,1361.5004886169434
-6295.0,1361.151,1361.5004886169434
-6305.0,1361.374,1361.5004886169434
-6315.0,1361.368,1361.4806991207508
-6325.0,1361.171,1361.1210602443664
-6335.0,1360.979,1361.1193606262207
-6345.0,1360.8429999999998,1361.1193606262207
-635.0,1360.6860000000001,1361.1193606262207
-6355.0,1360.521,1361.1193606262207
-6365.0,1360.4170000000001,1361.1211918264896
-6375.0,1360.4,1361.1230700683593
-6385.0,1360.399,1361.1230700683593
-6395.0,1360.415,1361.1230700683593
-6405.0,1360.454,1361.1230700683593
-6415.0,1360.486,1361.1232289085408
-6425.0,1360.516,1361.1339498291015
-6435.0,1360.5529999999999,1361.1339498291015
-6445.0,1360.644,1361.1339498291015
-645.0,1360.8470000000002,1361.1339498291015
-6455.0,1361.145,1361.1339498291015
-6465.0,1361.239,1361.127102084869
-6475.0,1360.9979999999998,1361.12114453125
-6485.0,1360.808,1361.12114453125
-6495.0,1360.9070000000002,1361.12114453125
-65.0,1361.155,1361.12114453125
-6505.0,1361.371,1361.1206513478319
-6515.0,1361.442,1361.1122004562
-6525.0,1361.325,1361.112203449247
-6535.0,1361.2939999999999,1361.1122026745857
-6545.0,1361.2920000000001,1361.1121985351479
-655.0,1361.325,1361.1121951385164
-6555.0,1361.3110000000001,1361.1165683812474
-6565.0,1361.191,1361.1197801208496
-6575.0,1361.027,1361.1197801208496
-6585.0,1360.899,1361.1197801208496
-6595.0,1360.9520000000002,1361.1197801208496
-6605.0,1361.082,1361.1550611388407
-6615.0,1361.19,1361.476812347412
-6625.0,1361.2920000000001,1361.476812347412
-6635.0,1361.257,1361.476812347412
-6645.0,1361.1870000000001,1361.476812347412
-665.0,1361.235,1361.476812347412
-6655.0,1361.42,1361.254861635391
-6665.0,1361.467,1361.1203038024903
-6675.0,1361.374,1361.1203038024903
-6685.0,1361.365,1361.1203038024903
-6695.0,1361.306,1361.1203038024903
-6705.0,1361.122,1361.1213737966793
-6715.0,1360.848,1361.1280838623047
-6725.0,1360.692,1361.1280838623047
-6735.0,1360.624,1361.1280838623047
-6745.0,1360.5839999999998,1361.1280838623047
-675.0,1360.516,1361.1280838623047
-6755.0,1360.479,1361.1199420671269
-685.0,1360.546,1361.1157040100097
-695.0,1360.705,1361.1157040100097
-705.0,1360.901,1361.1157040100097
-715.0,1361.024,1361.1157040100097
-725.0,1361.108,1361.1175177587722
-735.0,1361.237,1361.1258586730958
-745.0,1361.339,1361.1258586730958
-75.0,1361.385,1361.1258586730958
-755.0,1361.3270000000002,1361.1258586730958
